id;preparacao;energia;proteina;lipidios; carboidrato;fibra;colesterol;acucartotal;acucaradicao;calcio;magnesio;ferro;sodio;sodioadicao;potassio;vitamina_a;tiamina;vitamina_d;vitamina_e;vitamina_c
8008001;99;299,49;4,59;9,36;52,45;2;49,83;32,49;32,25;43,44;32,2;2,59;150,69;0;103,85;62;0,2;0,19;0,26;0
8008201;99;272,74;4,09;9,1;44,26;1,61;73,79;26,6;25,46;23,47;9,09;1,26;245,13;0;104,32;326,97;0,19;0,29;0,63;0,94
8008301;99;432,96;5,88;13,24;77,8;4,24;0;41,18;41,04;18,24;54,3;3,11;558,19;0;182,37;0;0,32;0;1,97;0
8008305;99;398,63;4,51;6,92;80,66;1,31;0,02;47,65;47,43;18,6;10,59;2,01;379,36;0;59,82;0,1;0,34;0;0,55;0,01
8008307;99;398,63;4,51;6,92;80,66;1,31;0,02;47,65;47,43;18,6;10,59;2,01;379,36;0;59,82;0,1;0,34;0;0,55;0,01
8008309;99;432,96;5,88;13,24;77,8;4,24;0;41,18;41,04;18,24;54,3;3,11;558,19;0;182,37;0;0,32;0;1,97;0
8008310;99;432,96;5,88;13,24;77,8;4,24;0;41,18;41,04;18,24;54,3;3,11;558,19;0;182,37;0;0,32;0;1,97;0
8008401;99;405,28;8,17;20,83;66,82;3,67;0,09;5,54;0,55;49,3;32,86;2,07;459,74;0;110,47;0,51;0,2;0;3,37;0,01
8008408;99;405,28;8,17;20,83;66,82;3,67;0,09;5,54;0,55;49,3;32,86;2,07;459,74;0;110,47;0,51;0,2;0;3,37;0,01
8008410;99;405,28;8,17;20,83;66,82;3,67;0,09;5,54;0,55;49,3;32,86;2,07;459,74;0;110,47;0,51;0,2;0;3,37;0,01
8010001;99;312,25;4,83;6,92;57,97;1,64;32,81;29,12;28,98;29,48;10,75;1,89;197,86;0;74,97;79,58;0,3;0,25;0,25;0,05
8010029;99;446,23;4,38;11,31;85,04;1,85;38,81;52,87;60,4;88,07;106,86;3,54;157,52;0;598,77;82,36;0,26;0,29;0,33;0,02
8010034;99;355,95;7,45;10,43;58,03;2,14;50,12;15,77;13,03;19,44;15,99;2,85;210,02;0;139,79;20,09;0,45;0,15;0,87;0,34
8010101;99;452,56;9,67;13,79;72,45;3,45;0;10,3;11,37;46,22;40,7;4;899,27;0;170,85;0,5;0,74;0;3,15;0
8010125;99;452,56;9,67;13,79;72,45;3,45;0;10,3;11,37;46,22;40,7;4;899,27;0;170,85;0,5;0,74;0;3,15;0
8010127;99;407,05;6,53;7,05;81,13;5,64;0;8,11;6,62;32,98;77,83;0,87;634,57;0;558,43;0,46;0,36;0;0,76;29,38
8010401;99;395,25;6,45;4,84;83,88;3,7;0;41,49;42,61;19,33;44,76;2,56;546,4;0;170,02;0,09;0,36;0;0,53;0,02
8010434;99;395,25;6,45;4,84;83,88;3,7;0;41,49;42,61;19,33;44,76;2,56;546,4;0;170,02;0,09;0,36;0;0,53;0,02
8010501;99;453,92;6,22;21,89;65,74;2,95;0,09;3,99;0;51,03;24,91;2,75;407,53;0;91,9;0,17;0,42;0;1,77;0,04
8010534;99;453,92;6,22;21,89;65,74;2,95;0,09;3,99;0;51,03;24,91;2,75;407,53;0;91,9;0,17;0,42;0;1,77;0,04
8010601;99;300,05;3,93;9,07;52,14;1,66;56,72;31,79;26,64;29,47;16,89;1,21;218,07;0;184,18;81,64;0,19;0,24;0,38;3,45
8100101;2;313;26,9;21,9;0;0;100;0;0;13;12;1,9;1943;0;86;0;0;0;0;0
8100101;3;313;26,9;21,9;0;0;100;0;0;13;12;1,9;1943;0;86;0;0;0;0;0
8100101;4;313;26,9;21,9;0;0;100;0;0;13;12;1,9;1943;0;86;0;0;0;0;0
8100101;5;347;25,29;26,56;0;0;94;0;0;12,22;11,28;1,79;1826,42;0;80,84;0;0;0;0,49;0
8100101;7;347;25,29;26,56;0;0;94;0;0;12,22;11,28;1,79;1826,42;0;80,84;0;0;0;0,49;0
8100101;8;255,2;21,78;17,56;1,08;0,3;80;0,85;0;13;12,8;1,72;1659,2;0;135;3,48;0;0;0,28;1,4
